year,sector,catch,total_effort,num_vessels,catch_boat_year
2004,SSF,10317,499,,20.68
2005,SSF,9095,565,,16.1
2006,SSF,5701,890,,6.41
2007,SSF,4560,1239,,3.68
2008,SSF,2813,1709,,1.65
2009,SSF,2968,2316,,1.28
2010,SSF,9700,3196,,3.04
2011,SSF,10781,3269,,3.3
2012,SSF,10869,3275,,3.32
2013,SSF,27377,3429,,7.98
2014,SSF,32298,3575,,9.03
2015,SSF,24621,3848,,6.4
2016,SSF,20839,3848,,5.42
2017,SSF,13160,4254,,3.09
2018,SSF,10769,4355,,2.48
2019,SSF,18165.9534,4589,,3.95
2020,SSF,18332.93,4589,,5.85
2010,DWF Trawl,980.92,,16,61.3075
2011,DWF Trawl,1128.42,,7,161.2028571
2012,DWF Trawl,1151.54,,3,383.8466667
2013,DWF Trawl,1871.13,,4,467.7825
2014,DWF Trawl,696.36,,1,696.36
2015,DWF Trawl,819.22,,7,117.0314286
2016,DWF Trawl,3854.19,,4,963.5475
2017,DWF Trawl,11030.93,,10,1103.093
2018,DWF Trawl,12140.335,,6,2023.389167
2019,DWF Trawl,15860.09,,4,3965.0225
2020,DWF Trawl,20331.494,,6,3388.582333